height,miner_address,reward_bina,total_mined_bina,timestamp_unix
292,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14600,1783172297
293,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14650,1783172304
294,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14700,1783172307
295,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14750,1783172321
296,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14800,1783172329
297,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14850,1783172336
298,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14900,1783172339
299,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14950,1783172365
300,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15000,1783172368
301,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15050,1783172394
302,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15100,1783172431
303,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15150,1783172451
304,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15200,1783172473
305,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15250,1783172475
306,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15300,1783172476
307,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15350,1783172480
308,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15400,1783172492
309,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15450,1783172497
310,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15500,1783172499
311,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15550,1783172500
312,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15600,1783172512
313,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15650,1783172516
314,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15700,1783172530
315,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15750,1783172553
316,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15800,1783172557
317,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15850,1783172560
318,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15900,1783172585
319,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,15950,1783172588
320,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16000,1783172603
